일련번호,시도,시군구,읍면동,리,구분,번,지
82900,충청남도,서산시,덕지천동,,일반,66,
82901,충청북도,청주시 청원구,오창읍,양청리,일반,737,7
82902,경상남도,창녕군,대합면,합리,일반,1371,
82903,경상남도,창녕군,성산면,냉천리,일반,19,5
82904,경기도,안성시,대덕면,신령리,일반,482,5
82905,경상남도,김해시,진영읍,죽곡리,일반,413,
82906,전라남도,광양시,옥곡면,신금리,일반,1586,2
82907,경상북도,고령군,개진면,양전리,일반,786,
82908,경상북도,구미시,옥계동,,일반,1033,
82909,경기도,포천시,소흘읍,무림리,일반,303,2
82910,경기도,고양시 일산동구,마두동,,일반,794,
82911,전라남도,광양시,태인동,,일반,1475,
82912,대구광역시,북구,노원동3가,,일반,237,48
82913,전라남도,장성군,남면,삼태리,일반,864,11
82914,대구광역시,달성군,구지면,내리,일반,842,50
82915,경기도,파주시,파주읍,백석리,일반,55,
82916,경상남도,합천군,율곡면,임북리,일반,508,1
82917,대구광역시,북구,노원동3가,,일반,620,2
82918,경상북도,경주시,외동읍,구어리,일반,1410,2
82919,경기도,구리시,토평동,,일반,504,24
82920,대구광역시,달성군,가창면,용계리,일반,552,
82921,경기도,파주시,야동동,,일반,257,19
82922,울산광역시,북구,양정동,,일반,754,8
82923,경상북도,경주시,건천읍,용명리,일반,257,
82924,광주광역시,광산구,월계동,,일반,806,6
82925,충청북도,청주시 서원구,남이면,비룡리,일반,2,
82926,충청북도,청주시 흥덕구,오송읍,오송리,일반,277,122
82927,충청남도,홍성군,갈산면,취생리,일반,430,3
82928,울산광역시,남구,용연동,,일반,490,9
82929,경상북도,성주군,성주읍,대황리,일반,370,
82930,경상북도,문경시,신기동,,일반,1141,6
82931,경기도,평택시,포승읍,도곡리,일반,1149,6
82932,경상북도,구미시,산동읍,인덕리,일반,594,
82933,경상북도,경주시,외동읍,석계리,일반,2069,1
82934,충청북도,청주시 흥덕구,오송읍,동평리,일반,106,3
82935,경상북도,성주군,금수면,어은리,일반,844,
82936,충청남도,예산군,고덕면,지곡리,일반,169,3
82937,충청남도,아산시,도고면,금산리,일반,30,6
82938,경기도,여주시,흥천면,귀백리,일반,58,7
82939,부산광역시,기장군,장안읍,오리,일반,420,7
82940,전라남도,광양시,태인동,,산,57,1
82941,부산광역시,강서구,범방동,,일반,1869,13
82942,경기도,연천군,백학면,통구리,일반,303,
82943,대구광역시,달성군,유가읍,상리,일반,957,6
82944,경상남도,함안군,군북면,월촌리,일반,151,1
82945,경기도,파주시,탄현면,금승리,산,78,
82946,경기도,연천군,백학면,두현리,일반,936,
82947,울산광역시,울주군,온산읍,덕신리,일반,1293,1
82948,경상북도,포항시 남구,오천읍,문덕리,일반,864,18
82949,제주특별자치도,제주시,한림읍,상대리,일반,1017,
82950,경기도,연천군,백학면,두현리,일반,812,
82951,경기도,고양시 일산동구,성석동,,일반,984,81
82952,인천광역시,서구,석남동,,일반,650,147
82953,경상남도,함안군,칠원읍,예곡리,일반,832,21
82954,인천광역시,미추홀구,주안동,,일반,5,29
82955,전라남도,광양시,태인동,,일반,25,7
82956,경기도,남양주시,진접읍,팔야리,일반,178,1
82957,경기도,연천군,미산면,삼화리,일반,274,1
82958,충청남도,예산군,오가면,원천리,일반,844,19
82959,경기도,양주시,남면,상수리,일반,632,15
82960,경기도,양주시,남면,상수리,일반,229,6
82961,경상남도,창원시 마산회원구,내서읍,평성리,일반,689,10
82962,경기도,화성시,영천동,,일반,652,2
82963,충청남도,태안군,근흥면,용신리,일반,933,46
82964,충청남도,서천군,장항읍,옥남리,일반,769,
82965,대전광역시,유성구,신성동,,일반,120,10
82966,경기도,화성시,마도면,쌍송리,일반,661,3
82967,경상남도,고성군,동해면,봉암리,일반,1349,
82968,경상북도,경산시,자인면,북사리,일반,100,8
82969,충청북도,청주시 서원구,장성동,,일반,141,3
82970,경상북도,경주시,내남면,명계리,일반,1109,
82971,경기도,양주시,은현면,도하리,일반,502,
82972,충청북도,청주시 흥덕구,오송읍,봉산리,일반,512,3
82973,세종특별자치시,,전의면,신방리,일반,179,
82974,경기도,포천시,가산면,우금리,일반,547,1
82975,경기도,파주시,문산읍,내포리,일반,891,7
82976,경상북도,경산시,용성면,덕천리,일반,502,1
82977,충청북도,음성군,맹동면,인곡리,산,13,
82978,경기도,연천군,청산면,궁평리,일반,673,2
82979,충청남도,천안시 서북구,직산읍,남산리,일반,57,8
82980,충청북도,청주시 청원구,오창읍,주성리,일반,372,
82981,경기도,연천군,왕징면,강서리,일반,1086,
